mean_Ax,std_Ax,median_Ax,cov_Ax,twf_perc_Ax,svf_perc_Ax,maxi_Ax,mini_Ax,skewness_Ax,kurt_Ax,mean_AY,std_AY,median_AY,cov_AY,twf_perc_AY,svf_perc_AY,maxi_AY,mini_AY,skewness_AY,kurt_AY,mean_Az,std_Az,median_Az,cov_Az,twf_perc_Az,svf_perc_Az,maxi_Az,mini_Az,skewness_Az,kurt_Az
0.27116093,5.8195553,-2.1955614,2.4123754439541067,-4.274999618530273,7.686858892440796,10.405572,-10.032063,[0.5061835  0.5324383  0.50770855],[-1.403969  -1.3826666 -1.4081945],0.8457581,6.5822854,1.1229208,2.5655965006612638,-4.084653973579407,6.200006484985352,18.306719,-15.395267,[-0.16054544 -0.12214797 -0.25871953],[-0.6428273  -0.58788943 -0.79232335],0.6183487,5.7948527,-1.9968355,2.4072500355409825,-4.162467956542969,8.169307708740234,10.185297,-9.088714,[0.54043615 0.56422806 0.543276  ],[-1.4321364 -1.4027554 -1.4408735]
0.33547944,5.8048306,-2.109367,2.4093215956255114,-4.7191396951675415,7.864035964012146,9.802212,-7.7862215,[0.5132814 0.5291174 0.5132989],[-1.4536877 -1.4274092 -1.4556015],0.3708671,6.436017,0.6296975,2.53693063295747,-4.184016585350037,5.241094470024109,24.675524,-19.470343,[-0.22212252 -0.28165826 -0.03646006],[-0.35946703 -0.41108227  0.0367825 ],0.5463444,5.8441744,-1.793321,2.4174727268514946,-4.437811017036438,8.059170722961426,11.89003,-8.667319,[0.47921687 0.49166226 0.47716433],[-1.4115067 -1.3968189 -1.4154649]
0.45035747,5.9105725,-1.7406467,2.4311669068246036,-4.535976767539978,7.567144274711609,10.673732,-10.103891,[0.3771704  0.40057105 0.3806048 ],[-1.3678889 -1.3467418 -1.3661075],0.018818969,6.097697,-2.35119,2.4693514899986284,-4.224719762802124,6.743509650230408,13.843768,-11.363287,[0.4894097  0.49489427 0.4691523 ],[-1.1140684 -1.0881618 -1.1393558],0.27216676,6.0669785,-1.601778,2.463123718896362,-4.014022350311279,7.174481153488159,16.443964,-12.512545,[0.3432699  0.34007984 0.37324208],[-1.1015652 -1.1702424 -1.0989703]
0.7150857,6.0622416,0.093377195,2.462161967511531,-4.3887282609939575,6.919489860534668,10.673732,-12.900419,[-0.07586078 -0.06181454 -0.07596402],[-1.1979936 -1.1888858 -1.1893107],0.039561566,5.7961864,-3.3352418,2.4075270397533552,-4.0906394720077515,7.773053050041199,10.271492,-6.6273866,[0.6682553  0.69187576 0.66863847],[-1.4538994 -1.4206045 -1.4530029],0.5048035,5.882532,-0.4453374,2.42539318869147,-4.282182455062866,6.6644980907440186,11.722429,-9.677709,[0.16051507 0.1813588  0.15260917],[-1.303676  -1.2832298 -1.3094077]
0.38938284,6.175616,1.9202182,2.485078628032945,-5.329683303833008,5.365597367286682,10.0560055,-16.28594,[-0.4395582  -0.45473143 -0.49184448],[-1.0158578 -0.9470422 -0.9405246],0.26892617,5.788746,-2.8324418,2.4059812717739417,-4.2295081615448,7.901147365570068,10.094315,-7.407924,[0.6402682  0.6617873  0.63932574],[-1.4677373 -1.4365767 -1.468789 ],-0.47387737,6.7764997,0.6320918,2.603171094690086,-5.5667173862457275,4.448585510253906,17.013803,-23.569363,[-0.4672321  -0.35344896 -0.4107211 ],[-0.2027421  -0.36804628  0.02800298]
0.14035308,6.5618706,1.9202182,2.5616148373538072,-5.649320483207703,5.017228484153748,35.79938,-22.362642,[-0.6077911  -0.6417911   0.15296987],[-0.36390352 -0.40317655  2.5154314 ],0.6183487,5.7948527,-1.9968355,2.4072500355409825,-4.162467956542969,8.169307708740234,10.185297,-9.088714,[0.54043615 0.56422806 0.543276  ],[-1.4321364 -1.4027554 -1.4408735],-3.3559167,15.791797,-0.73983467,3.973889364874812,-6.945827007293701,3.3651705980300903,71.924385,-78.456,[-2.2855957 -1.7101237 -1.3099822],[ 7.5945263  7.840023  10.092243 ]
0.5817081,6.687568,2.7031503,2.5860332920737163,-4.5563284158706665,5.464960336685181,35.79938,-22.362642,[-0.7468923  -0.00755105 -0.7241734 ],[-0.30786872  2.2068024  -0.27885008],0.5346121,5.8224425,-1.7574067,2.412973794218597,-4.541962742805481,8.079521656036377,9.811789,-8.667319,[0.46523347 0.48431373 0.46219173],[-1.4433472 -1.4188101 -1.4407787],-0.411474,9.122201,0.69434327,3.0202981584408763,-4.999271273612976,4.603017091751099,34.851242,-78.456,[-0.07523344 -2.5859764  -2.6124394 ],[ 2.4507098 20.06016   20.7708   ]
0.7434738,6.607918,2.8803275,2.5705870507813056,-4.412671208381653,5.536788821220398,26.476027,-22.113636,[-0.66848755 -0.6479378  -0.37502304],[-0.38930488 -0.54247236  0.2281208 ],0.63038373,5.8086853,-1.7238867,2.410121429043436,-4.191199541091919,7.904738783836365,11.89003,-7.0679355,[0.52262753 0.5471624  0.5223311 ],[-1.3871049 -1.356437  -1.38206  ],1.074524,8.600207,1.0774292,2.932611008776375,-3.1580646634101868,6.5854867696762085,23.47359,-78.456,[-1.0809072  -3.1446984  -0.95901287],[ 4.7344503 21.5585     3.8278704]
0.54168355,6.5197625,2.2865443,2.5533825635853566,-4.863994121551514,5.215954542160034,26.476027,-22.113636,[-0.45698896 -0.138707   -0.48303252],[-0.45125723  0.38671923 -0.3074484 ],0.27216676,6.0669785,-1.601778,2.463123718896362,-4.014022350311279,7.174481153488159,16.443964,-12.512545,[0.3432699  0.34007984 0.37324208],[-1.1015652 -1.1702424 -1.0989703],-1.0548671,7.8359733,-1.3288293,2.7992808474297224,-6.154515027999878,4.20077657699585,29.033125,-32.260624,[-0.04998216 -0.45164204 -0.2621306 ],[2.2931585 1.0962167 1.026156 ]
0.4100537,6.449303,1.7502239,2.5395478239594156,-4.865191221237183,5.175251722335815,18.306719,-15.433575,[-0.32904416 -0.2485699  -0.25846502],[-0.660722   -0.56480145 -0.50425816],0.063161366,5.902382,-2.8659616,2.429481816555262,-4.282182455062866,7.413910150527954,11.722429,-9.481377,[0.54073    0.5696266  0.55075485],[-1.4006075 -1.354182  -1.3786416],-0.45105183,7.5639,0.062251464,2.750254532565392,-6.0000834465026855,4.028388023376465,38.471405,-26.715456,[ 0.4790783  -0.17685412 -0.29837823],[3.1824346  0.94609356 0.50861573]
0.8457581,6.5822854,1.1229208,2.5655965006612638,-4.084653973579407,6.200006484985352,18.306719,-15.395267,[-0.16054544 -0.12214797 -0.25871953],[-0.6428273  -0.58788943 -0.79232335],0.53003925,6.299725,2.1644356,2.5099253087880085,-4.843642950057983,5.2363057136535645,12.383253,-22.324333,[-0.58817786 -0.53301233 -0.54556745],[-0.32600188 -0.6413355  -0.5840845 ],-1.2147018,8.970443,-1.4389665,2.9950697440813663,-6.645343899726868,4.137328028678894,54.752556,-78.456,[ 1.216775    0.29503006 -2.4170938 ],[ 7.333995   1.4076409 17.931522 ]
